common_name,iucn_status_category,population_trend_category,synonyms,missing_seq,suborder,family,subfamily,genus,subgenus,SL_TL_ratio_snoutventtotaillength_ratio,TOTL_mm_totallength_quant,SL_male_mm_snoutventlength_quant,SL_female_mm_snoutventlength_quant,HL_mm_headlength_quant,SE_mm_snouteyelength_quant,BW_mm_bodywidth_quant,FLL_mm_forelimblength_quant,HLL_mm_hindlimblength_quant,presacral_vertebrae_count,costal_grooves_count,subdigitalpad_binary,webbed_toes_binary,maxillary_teeth_binary,premaxillary_teeth_binary,vomerine_teeth_male_binary,vomerine_teeth_female_binary,elevation_m_maxaltitude_quant,habit_category,habitat_cat_course,toes_count,fingers_count,cvalue_quant,ndiploid_count,HW,Clutch size,Egg size,label,_key,length
Amber-coloured Salamander,VU,decreasing,unknown,False,Cryptobranchoidea,Hynobiidae,unknown,Hynobius,unknown,1.2,146.0,80.5,80.5,14,7.1,6.9,14.2,17.5,0,13,0,0.0,0,0,P,P,1600.0,semiaquatic,Semiaquatic,5.0,4.0,0.0,58.0,0.0,57,0.0,Hynobius_stejnegeri,34,9.23434500000008
Macedonian Crested Newt,unknown,unknown,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Triturus,unknown,1.2,0.0,77.8,77.8,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,1650.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,28.695,0.0,0.0,0,4.5,Triturus_macedonicus,35,6.98187200000005
Japanese Black Salamander,LC,stable,unknown,False,Cryptobranchoidea,Hynobiidae,unknown,Hynobius,unknown,1.2,190.0,80.0,80.0,12.15,8.05,9.1,19.9,23.1,0,11,0,0.0,0,0,0,0,2500.0,semiqauatic,Semiaquatic,5.0,4.0,0.0,56.0,21.0,140,0.0,Hynobius_nigrescens,36,4.18738100000008
unknown,DD,unknown,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.79,97.0,46.0,46.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,1550.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bolitoglossa_epimela,37,9.53787300000005
Galeana False Brook Salamander ,NT,unknown,Bolitoglossa_galeanae,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Pseudoeurycea,unknown,1.1,135.0,75.0,75.0,8.58,5.75,5.98,11.73,13.38,0,13,0,1.0,29,59,20-18,20-18,2800.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,11.5,0,0.0,Pseudoeurycea_galeanae,38,16.4049710000001
Black-spotted Newt,EN,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Notophthalmus,unknown,1.11,110.0,57.0,57.0,9.733,6.5329999999999995,6.167000000000001,13.967,14.033,0,0,0,0.0,0,0,50,50,800.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,0.0,300,0.0,Notophthalmus_meridionalis,39,17.8519430000001
Oaxacan Giant Salamander,CR,decreasing,Oedipus_giganteus,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Pseudoeurycea,unknown,1.35,281.0,161.0,161.0,8.63,6.49,6.74,10.95,11.71,0,11,0,1.0,67,68,25-25,25-25,2200.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,17.0,0,0.0,Pseudoeurycea_gigantea,40,4.15273700000003
Hida Salamander,LC,stable,unknown,False,Cryptobranchoidea,Hynobiidae,unknown,Hynobius,unknown,1.1,184.0,97.0,97.0,25.4,0.0,0.0,0.0,0.0,0,13,0,0.0,0,0,0,0,1000.0,semiaquatic,Semiaquatic,4.5,4.0,0.0,58.0,18.4,51,0.0,Hynobius_kimurae,41,9.54756200000002
Olympic Torrent Salamander,VU,decreasing,unknown,False,Salamandroidea,Rhyacotritonidae,unknown,Rhyacotriton,unknown,1.45,120.0,60.0,60.0,13,5.82,5.16,10.26,12.38,0,14.5,0,0.0,0,1,11,11,1200.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,66.6,26.0,9.0,16,4.5,Rhyacotriton_olympicus,42,2.82569300000011
Chiala Mountain Salamander,VU,decreasing,unknown,False,Cryptobranchoidea,Hynobiidae,unknown,Batrachuperus,unknown,0.91,190.0,88.0,90.0,21.5,0.0,0.0,24.5,27.5,0,12,0,0.0,0,0,P,P,4500.0,aquatic,Aquatic,4.0,4.0,0.0,68.0,16.5,0,0.0,Batrachuperus_karlschmidti,43,6.13403300000005
Italian Cave Salamander,NT,stable,Speleomantes_italicus,False,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,unknown,1.6,120.0,51.9,51.9,10.74,6.82,4.52,14.72,15.66,0,11,0,1.0,0,0,0,0,1598.0,Terrestrial-troglodytic,Terrestrial,5.0,4.0,71.65,28.0,0.0,0,0.0,Hydromantes_italicus,44,5.49021500000008
Gadow's false brook salamander ,EN,decreasing,Oedipus_gadovii,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Pseudoeurycea,unknown,1.07,174.0,63.0,63.0,5.93,4.2,3.07,7.0,7.87,0,13,0,0.0,0,5,17,17,5000.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,0.0,0,0.0,Pseudoeurycea_gadovii,45,1.57051299999999
Taylor's pigmy salamander,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Thorius,unknown,0.85,64.5,22.8,28.9,3.2,2.5,2.86,3.06,3.31,14,13,1,1.0,0,1,5.7,6,2800.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,2.1,0,0.0,Thorius_troglodytes,46,4.61317500000011
Shenandoah Salamander,VU,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,cinereus,1.0,105.0,46.9,46.9,7.8,4.48,3.92,9.0,11.1,0,18,0,0.0,0,0,P,P,1143.0,Terrestrial-saxicalous,Terrestrial,5.0,4.0,18.2,28.0,0.0,19,0.0,Plethodon_shenandoah,47,7.90379100000008
Southern Banded Newt,LC,decreasing,Triturus_vittatus,False,Salamandroidea,Salmandridae,Pleurodelinae,Ommatotriton,unknown,1.3,109.0,49.0,49.0,10.2,6.7,5.0,16.9,20.7,0,0,0,0.0,0,0,0,0,1500.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,31.615,0.0,0.0,0,0.0,Ommatotriton_vittatus,48,11.3591540000001
Lake Patzcuaro Salamander ,CR,decreasing,Siredon_dumerilii,False,Salamandroidea,Ambystomatidae,unknown,Ambystoma,unknown,1.0,205.0,122.0,122.0,54,0.0,0.0,49.0,48.0,0,12,0,1.0,P,P,37-38,37-38,1920.0,aquatic,Aquatic,5.0,4.0,0.0,0.0,44.0,0,0.0,Ambystoma_dumerilii,49,3.31863700000008
Northern Two-lined Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Spelerpinae,Eurycea,unknown,0.75,121.0,40.9,53.0,9,4.11,3.92,7.95,10.2,0,15.5,0,0.0,0,0,12,12,2000.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,26.91666667,28.0,5.0,110,3.0,Eurycea_bislineata,50,13.0480900000001
Wehrle's Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,wehrlei,0.93,152.0,65.0,65.0,13.5,5.84,4.98,12.19,14.69,0,16.5,0,1.0,0,0,6,6,1446.0,Terrestrial,Terrestrial,5.0,4.0,24.2,28.0,7.5,19,5.0,Plethodon_wehrlei,51,4.49932000000011
Texas Blind Salamander,VU,stable,Typhlomolge_rathbuni,False,Salamandroidea,Plethodontidae,Spelerpinae,Eurycea,unknown,1.26,137.0,76.0,76.0,15,7.5,5.9,19.2,19.1,0,12,0,0.0,0,0,0,0,300.0,troglodytic-aquatic,Aquatic,5.0,4.0,0.0,0.0,13.0,39,0.0,Eurycea_rathbuni,52,2.75721600000005
unknown,EN,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.98,92.8,46.0,46.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,1,0,9.5,9.5,2800.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bolitoglossa_spongai,53,13.075836
Comal Blind Salamander,VU,unknown,unknown,False,Salamandroidea,Plethodontidae,Spelerpinae,Eurycea,unknown,1.0,85.0,36.4,36.4,7.63,3.53,4.23,8.93,10.13,0,11.5,0,0.0,0,0,0,0,400.0,troglodytic-aquatic,Aquatic,5.0,4.0,26.5,0.0,0.0,18,0.0,Eurycea_tridentifera,54,0.29843500000008
