,Length__lowerCI95,Length__estimate,Length__upperCI95,lnlength_lowerCI95,lnlength_estimate,lnlength_upperCI95,label,_key,length
147,14.0158308709382,16.0291697219096,18.0425085728809,2.50405032493696,2.74683155652894,2.98961278812093,node 147,55,3.19491206884104
94,4.16416057620845,7.02716226745758,9.89016395870672,1.5433391895668,1.88857818215668,2.23381717474656,node 94,56,2.84487016084959
91,2.68734479238575,5.15535057522431,7.62335635806288,1.33235092791087,1.62995879617637,1.92756666444187,node 91,57,1.81095835185765
111,1.12556525441429,2.19496492928019,3.26436460414609,0.652196990794522,0.781152019900901,0.91010704900728,node 111,58,0.213748577270616
106,0.8928561932849,2.33393799902228,3.77501980475965,0.654386936293873,0.828161765827874,1.00193659536187,node 106,59,0.537575601763678
120,0.508495408300208,1.80900209830791,3.1095087883156,0.413675097414952,0.570498483474064,0.727321869533175,node 120,60,0.387574432784504
95,4.29625883268801,7.27775486163214,10.2592508905763,1.59568408516009,1.95521188026743,2.31473967537478,node 95,61,4.70734856019407
142,7.24448738817613,11.4692558391128,15.6940242900494,1.70692341490179,2.21637292322202,2.72582243154225,node 142,62,6.19027608588323
105,0.682428414788752,2.33751505811665,3.99260170144454,0.620300314525733,0.819881211434732,1.01946210834373,node 105,63,3.10876435278425
109,0.935216609134561,2.2742107213725,3.61320483361045,0.650563384458457,0.812027829207392,0.973492273956328,node 109,64,0.860834570565239
102,1.20654836120247,3.21913832023699,5.23172827927151,0.79635580166453,1.03904672709337,1.2817376525222,node 102,65,0.53968819501398
93,2.6140469137515,5.40874694429745,8.2034469748434,1.33471121817356,1.67171396116377,2.00871670415399,node 93,66,2.44419098631897
113,1.08677501173959,2.14272120624732,3.19866740075505,0.629510014953809,0.756842737646651,0.884175460339493,node 113,67,0.480356015518139
133,-0.346142378501092,1.73081973007314,3.80778183864737,0.246565149316323,0.497018478842183,0.747471808368043,node 133,68,1.85708614900178
89,2.64716195015765,5.21876492948707,7.79036790881649,1.32158017246859,1.63168045101137,1.94178072955415,node 89,69,3.34838446375307
138,-0.123948077101912,2.06362583742191,4.25119975194574,0.431982547511794,0.695774153634314,0.959565759756833,node 138,70,13.8373010554956
83,2.70916220772615,6.1781235737115,9.64708493969684,1.28480420949713,1.70311368202959,2.12142315456206,node 83,71,8.15385984833521
103,1.05314464214678,2.92289563992162,4.79264663769646,0.737616234241054,0.963082727271334,1.18854922030161,node 103,72,0.712198610447802
130,-0.542509874788916,1.98163403046252,4.50577793571396,0.280905454186497,0.585282815074704,0.889660175962911,node 130,73,7.81411723088984
