,SL_TL_ratio_snoutventtotaillength_ratio_lowerCI95,SL_TL_ratio_snoutventtotaillength_ratio_estimate,SL_TL_ratio_snoutventtotaillength_ratio_upperCI95,TOTL_mm_totallength_quant_lowerCI95,TOTL_mm_totallength_quant_estimate,TOTL_mm_totallength_quant_upperCI95,SL_male_mm_snoutventlength_quant_lowerCI95,SL_male_mm_snoutventlength_quant_estimate,SL_male_mm_snoutventlength_quant_upperCI95,SL_female_mm_snoutventlength_quant_lowerCI95,SL_female_mm_snoutventlength_quant_estimate,SL_female_mm_snoutventlength_quant_upperCI95,SE_mm_snouteyelength_quant_lowerCI95,SE_mm_snouteyelength_quant_estimate,SE_mm_snouteyelength_quant_upperCI95,BW_mm_bodywidth_quant_lowerCI95,BW_mm_bodywidth_quant_estimate,BW_mm_bodywidth_quant_upperCI95,FLL_mm_forelimblength_quant_lowerCI95,FLL_mm_forelimblength_quant_estimate,FLL_mm_forelimblength_quant_upperCI95,HLL_mm_hindlimblength_quant_lowerCI95,HLL_mm_hindlimblength_quant_estimate,HLL_mm_hindlimblength_quant_upperCI95,elevation_m_maxaltitude_quant_lowerCI95,elevation_m_maxaltitude_quant_estimate,elevation_m_maxaltitude_quant_upperCI95,cvalue_quant_lowerCI95,cvalue_quant_estimate,cvalue_quant_upperCI95,HW_lowerCI95,HW_estimate,HW_upperCI95,label,_key,length
885,0.89581134394757,1.5259102506544,2.15600915736124,27.0333702881429,90.2513034653774,153.469236642612,18.7285430357615,50.1939188138428,81.6592945919241,18.8198207035213,50.2624701891356,81.70511967475,0.126123958621883,4.16727691035539,8.20842986208891,-0.423304677949284,4.34229756191027,9.10789980176982,-1.76173378738521,6.87284672454064,15.5074272364665,-2.49889348873874,7.30841275464193,17.1157189980226,316.649034198178,1324.33122378326,2332.01341336835,-20.7982024625989,1.38486003936832,23.5679225413355,-8.62156533889938,0.0139201861599602,8.6494057112193,node 885,348,2.703119
635,0.80327068670494,1.39086064017797,1.978450593651,63.1132718021967,122.0662742894,181.019276776604,10.4106648127477,39.7532624472751,69.0958600818025,10.4393195559071,39.7607241031412,69.0821286503752,-1.42809185806577,2.34042900367776,6.10894986542129,-2.90475675050605,1.53933919789861,5.98343514630326,3.40445624081827,11.45651395312,19.5085716654217,3.14525642454921,12.2909231729047,21.4365899212601,841.733819728537,1781.43380109891,2721.13378246928,0.172936393061988,20.8594421537914,41.5459479145209,-7.81002892453856,0.242872745147222,8.29577441483301,node 635,349,10.866345
662,0.517662579103729,1.08032868724003,1.64299479537632,90.8382618006245,147.290650539342,203.743039278059,32.1202566548448,60.2182272141501,88.3161977734554,31.949205619038,60.0268820397587,88.1045584604793,1.14532061580764,4.75399185699317,8.36266309817871,3.13583050343603,7.39142091422051,11.647011325005,1.80190411195193,9.51241711288193,17.2229301138119,4.68601042257658,13.4437447663869,22.2014791101973,135.459409444418,1035.30006908851,1935.14072873261,-14.6577482178086,5.15129653956222,24.960341296933,-0.240603599930616,7.47071756018236,15.1820387202953,node 662,350,1.371724
589,0.540759421658158,1.08420728316734,1.62765514467652,106.862514385624,161.386733089249,215.910951792873,37.663907158539,64.8021722724269,91.9404373863149,37.8784553907071,64.9971195262253,92.1157836617434,2.56260184183475,6.04801644305844,9.53343104428213,1.48587374746946,5.59611155059584,9.70634935372221,12.0145335339565,19.4616886778365,26.9088438217164,11.3297077995948,19.788315723526,28.2469236474573,373.836738438865,1242.94272351828,2112.04870859769,10.7813084202954,29.9137616750152,49.0462149297349,5.59886799149906,13.0468036913311,20.4947393911632,node 589,351,6.436896
644,0.206715428322611,1.15950293962941,2.11229045093621,27.6020954514547,123.195432593875,218.788769736295,15.2857406448061,62.8652821434871,110.444823642168,15.3955681806365,62.940744713103,110.485921245569,0.594046274140353,6.70476956330765,12.8154928524749,-0.869164910909204,6.33701534057709,13.5431955920634,1.00880174542922,14.065355866644,27.1219099878587,1.25261407103826,16.0824746037148,30.9123351363913,139.742707474502,1663.48286220813,3187.22301694176,-0.519239208922791,33.0242960828252,66.5678313745732,-4.71572665775757,8.34219595529551,21.4001185683486,node 644,352,8.861641
727,0.978832090309871,1.30463103155081,1.63042997279175,194.337094055726,227.024558638435,259.712023221144,93.6481825602559,109.917669786992,126.187157013728,93.6637106471324,109.921447017066,126.179183386999,-1.49461624522534,0.594902303455526,2.68442085213639,-1.89610149887798,0.568000799341164,3.0321030975603,8.19273742192121,12.6573336288052,17.1219298356891,9.18239653894654,14.2533623135399,19.3243280881333,-98.7802919662442,422.251861842775,943.284015651793,-10.2614505955398,1.20852372070681,12.6784980369534,8.04835309781749,12.513417250793,16.9784814037686,node 727,353,6.598961
665,0.584344231918558,1.13055397321235,1.67676371450613,76.2862673801942,131.087585964184,185.888904548175,35.6172022107427,62.8933878706776,90.1695735306125,34.4275950875795,61.6840801541682,88.9405652207568,-0.679591407081398,2.82353656981253,6.32666454670645,1.82696782106122,5.95809444076488,10.0892210604685,0.743496905845776,8.22849955764968,15.7135022094536,2.11634286924386,10.6179386488383,19.1195344284328,206.675784431255,1080.19869047196,1953.72159651267,-17.1890892260762,2.04059789341109,21.2702850128983,0.331623694944647,7.81741086959766,15.3031980442507,node 665,354,1.040008
847,0.295092006940281,0.982983807794904,1.67087560864953,14.1770851525964,83.1933894767495,152.209693800903,20.6140113747473,54.9654025264581,89.3167936781689,20.7128109316318,55.0393913273082,89.3659717229846,-0.239243973246862,4.17256495374487,8.5843738807366,-0.398018200583146,4.80468675897182,10.0073917185268,1.04259270554877,10.4691399900316,19.8956872745144,0.854606452961928,11.5614422869603,22.2682781209586,1462.56219774285,2562.66935346806,3662.77650919326,-21.9432995153198,2.27440130993915,26.4921021351981,-2.08610776987174,7.34142753586865,16.768962841609,node 847,355,8.818586
695,0.599594877496807,1.06203212197793,1.52446936645905,105.484675301296,151.881084673061,198.277494044826,45.7397154294152,68.8325370745556,91.9253587196961,47.1117994678281,70.1879420107613,93.2640845536944,1.83982031695433,4.80567157559788,7.77152283424144,0.8880993537201,4.38563274829725,7.88316614287441,7.54753537078101,13.8845589343581,20.2215824979352,9.09449294612718,16.2921941747719,23.4898954034165,238.88815847464,978.438362584484,1717.98856669433,-8.38047035346176,7.89994878133137,24.1803679161245,0.269675818935908,6.60736358264923,12.9450513463626,node 695,356,0.039137
715,0.704008912189869,1.04210008221303,1.38019125223619,112.873899444494,146.794645484261,180.715391524027,56.3939409086238,73.2772676352635,90.1605943619033,56.0594512367599,72.930583752731,89.8017162687022,2.53143379091215,4.69978881446693,6.86814383802171,1.9919008388102,4.54897246675506,7.10604409469991,7.62308036873326,12.2561235257093,16.8891666826854,9.2795258191719,14.5418165600488,19.8041073009257,668.89633391549,1209.58676657932,1750.27719924315,-8.48412335344034,3.41860727528697,15.3213379040143,-1.48584411240244,3.14768464603388,7.78121340447019,node 715,357,0.490605
