_from,_to
anolis_internal/112,anolis_internal/140
anolis_internal/140,anolis_leaf/61
anolis_internal/140,anolis_leaf/133
anolis_internal/112,anolis_leaf/67
anolis_internal/145,anolis_leaf/124
anolis_internal/82,anolis_leaf/59
anolis_internal/128,anolis_internal/57
anolis_internal/57,anolis_internal/83
anolis_internal/83,anolis_internal/70
anolis_internal/70,anolis_internal/141
anolis_internal/141,anolis_leaf/73
anolis_internal/141,anolis_leaf/72
anolis_internal/70,anolis_leaf/23
anolis_internal/83,anolis_leaf/92
anolis_internal/57,anolis_leaf/39
