species,domatia
Psychotria_plantaginoidea,0
Psychotria_platypoda,0
Psychotria_poeppigiana,0
Psychotria_poissoniana,0
Psychotria_poliostemma,0
Psychotria_polygrammata,0
Psychotria_pritchardii,0
Psychotria_pseudinundata,0
Psychotria_psychotriifolia,0
Psychotria_psychotrioides,0
Psychotria_pubescens,0
Psychotria_pulchristipula,0
Psychotria_pumila,0
Psychotria_punctata,1
Psychotria_pyrrotricha,0
Psychotria_quinqueradiata,0
Psychotria_racemosa,1
Psychotria_raivavaensis,0
Psychotria_ramonensis,0
Psychotria_ramuensis,0
Psychotria_recordiana,0
Psychotria_recurva,0
Psychotria_remota,1
Psychotria_retusa,0
Psychotria_revoluta,0
Psychotria_rhizomatosa,0
Psychotria_rhombocarpa,0
Psychotria_rosulatifolia,0
Psychotria_rubra,0
Psychotria_rubripilis,0
Psychotria_rubristipulata,0
Psychotria_rufipes,0
Psychotria_rufipilis,0
Psychotria_rupicola,0
Psychotria_saltatrix,0
Psychotria_saltiensis,0
Psychotria_samoana,0
Psychotria_sarapiquensis,0
Psychotria_sarmentosa,0
Psychotria_schlechteriana,0
Psychotria_schliebenii,1
Psychotria_schweinfurthii,0
Psychotria_scytophylla,0
Psychotria_serpens,0
Psychotria_siamica,0
Psychotria_silhouettae,0
Psychotria_simianensis,0
Psychotria_simmondsiana,0
Psychotria_sixaolensis,0
Psychotria_solfiana,0
Psychotria_solitudinum,0
Psychotria_spithamea,0
Psychotria_stachyoides,0
Psychotria_stenostachya,0
Psychotria_steyermarkii,0
Psychotria_straminea,0
Psychotria_submontana,0
Psychotria_subobliqua,0
Psychotria_subpunctata,0
Psychotria_succulenta,0
Psychotria_suerrensis,0
Psychotria_sylvivaga,1
Psychotria_tahitensis,0
Psychotria_taxifolia,0
Psychotria_temehaniensis,0
Psychotria_tenuifolia,0
Psychotria_tenuissima,0
Psychotria_tephrosantha,0
Psychotria_terniflora,0
Psychotria_torresiana,0
Psychotria_trichophoroides,0
Psychotria_trichotoma,0
Psychotria_trisulcata,1
Psychotria_turbinata,0
Psychotria_turrubarensis,0
Psychotria_umbellifera,0
Psychotria_umbrosa,0
Psychotria_unicarinata,0
Psychotria_urbaniana,0
Psychotria_urceolata,0
Psychotria_valerioana,0
Psychotria_variegata,0
Psychotria_verschuerenii,0
Psychotria_viridis,1
Psychotria_vogeliana,0
Psychotria_wagapensis,0
Psychotria_walikalensis,0
Psychotria_wawrae,0
Psychotria_zeylanica,0
Psychotria_zombamontana,0
Rennellia_elliptica,0
Ronabea_emetica,0
Ronabea_latifolia,0
Saldinia_acuminata,0
Saldinia_aegialodes,0
Saldinia_boiviniana,0
Saldinia_littoralis,0
Saldinia_longistipulata,0
Saldinia_myrtilloides,0
Saldinia_pallida,0
Saldinia_subacuminata,0
Squamellaria_grayi,1
Squamellaria_guppyana,1
Squamellaria_huxleyana,1
Squamellaria_imberbis,1
Squamellaria_jebbiana,1
Squamellaria_kajewskii,1
Squamellaria_major,1
Squamellaria_tenuiflora,1
Squamellaria_thekii,1
Squamellaria_wilkinsonii,1
Squamellaria_wilsonii,1
Straussia_psychotrioides,0
Streblosa_myriocarpa,0
Ophiorrhiza_mungos,0
Danais_fragrans,0
Craterispermum_longipedunculatum,0
