species,common_name,iucn_status_category,population_trend_category,synonyms,missing_seq,suborder,family,subfamily,genus,subgenus,SL_TL_ratio_snoutventtotaillength_ratio,TOTL_mm_totallength_quant,SL_male_mm_snoutventlength_quant,SL_female_mm_snoutventlength_quant,HL_mm_headlength_quant,SE_mm_snouteyelength_quant,BW_mm_bodywidth_quant,FLL_mm_forelimblength_quant,HLL_mm_hindlimblength_quant,presacral_vertebrae_count,costal_grooves_count,subdigitalpad_binary,webbed_toes_binary,maxillary_teeth_binary,premaxillary_teeth_binary,vomerine_teeth_male_binary,vomerine_teeth_female_binary,elevation_m_maxaltitude_quant,habit_category,habitat_cat_course,toes_count,fingers_count,cvalue_quant,ndiploid_count,HW,Clutch size,Egg size
Bolitoglossa_oresbia,unknown,CR,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,1.22,0.0,55.0,55.0,0,0.0,0.0,0.0,0.0,0,0,1,1.0,0,0,0,0,1880.0,arboreal,Terrestrial,5.0,4.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_orestes,unknown,VU,stable,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.0,0.0,47.0,47.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0,0,0,3500.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_pacaya,unknown,unknown,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,0.0,84.81,45.8,48.6,9.32,0.0,0.0,0.0,0.0,0,0,0,1.0,1,1,1.52,19.4,2050.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_palmata,unknown,VU,stable,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.3,92.38,53.0,53.0,7.9,4.78,5.5,8.83,8.78,0,0,0,0.0,0,0,0,0,2200.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_pandi,unknown,EN,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.0,0.0,50.0,50.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,1,0,0,0,1300.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_paraensis,unknown,DD,unknown,Bolitoglossa_altamazonica,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.0,74.69,40.99,40.99,6.65,4.43,4.71,8.08,8.45,0,0,0,1.0,0,0,0,0,1500.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_peruviana,unknown,LC,unknown,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.2,77.48,41.77,41.77,5.79,4.61,5.27,6.49,7.24,0,0,0,1.0,0,0,0,0,800.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_pesrubra,unknown,VU,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.1,131.0,57.0,67.0,7.93,5.95,6.08,11.81,13.15,0,0,1,1.0,1,0,27,27,3620.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_phalarosoma,unknown,DD,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.0,0.0,58.0,58.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,1540.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_platydactyla,unknown,NT,decreasing,Salamandra_variegata,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,bolitoglossa,0.35,220.0,79.73,79.73,14,8.53,8.93,16.63,18.2,0,0,0,1.0,0,0,0,0,1100.0,0,0,5.0,4.0,67.0,26.0,0.0,0,0.0
Bolitoglossa_porrasorum,unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,3.9,77.9,62.0,62.0,8.06,5.58,5.56,10.46,10.94,0,0,0,1.0,0,0,0,0,1920.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_psephena,unknown,unknown,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,0.0,123.8,71.5,71.5,15.8,0.0,0.0,0.0,0.0,0,0,0,1.0,1,1,31,31,2500.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_pygmaea,unknown,unknown,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.42,0.0,32.6,36.8,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,3000.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_ramosi,unknown,LC,stable,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.0,0.0,45.0,45.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,2000.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_riletti,unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,oaxakia,1.1,101.6,53.87,53.87,8.03,6.27,5.5,11.7,12.63,0,0,0,1.0,0,0,0,0,1050.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_robinsoni,unknown,unknown,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.1,122.0,63.0,63.0,0,0.0,0.0,0.0,0.0,0,0,1,1.0,1,1,11,11,0.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_robusta,unknown,LC,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.09,260.0,134.0,134.0,16.95,10.65,12.45,18.95,21.45,0,0,1,1.0,1,1,28.9,33.9,2100.0,0,0,5.0,4.0,45.0,26.0,0.0,0,0.0
Bolitoglossa_rostrata,unknown,VU,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,0.0,81.91,44.73,44.73,8.35,5.58,4.25,9.35,9.98,0,0,0,1.0,0,0,0,0,3300.0,0,0,5.0,4.0,47.8,26.0,0.0,0,0.0
Bolitoglossa_rufescens,unknown,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,nanotriton,0.0,63.42,36.64,36.64,7.14,4.86,4.18,7.92,8.08,0,0,0,1.0,0,0,0,0,1500.0,0,0,5.0,4.0,42.3,26.0,0.0,0,0.0
Bolitoglossa_salvinii,unknown,EN,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,bolitoglossa,1.3,102.0,51.1,51.1,9.8,6.1,4.4,11.1,12.0,0,0,0,1.0,0,0,0,0,1250.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_savagei,unknown,DD,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.0,110.0,55.0,55.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,2140.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_schizodactyla,unknown,LC,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.73,147.0,62.0,62.0,9.14,6.52,7.38,12.3,12.56,0,0,0,1.0,0,0,0,0,1750.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_silverstonei,unknown,VU,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.91,102.9,49.0,49.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,400.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
