species,island/mainland,Group,Clade,Nmorpho,SVL,Tail,Head_length,Head_width,Head_depth,Lower_jaw_length,Outlever,Snout,Open,Close,Interlimb,Body_height,Body_width,Femur,Tibia,Tarsus,Ltoe,Hind_limb_length,Humerus,Radius,Carpus,Longest_toe,Forelimb_length
quercorum,M,M2a,Norops,3,39.98,71.36,11.7,6.71,5.49,11.85,10.63,8.72,1.22,1.9,17.85,6.02,7.33,8.52,9.03,5.82,5.63,29.01,6.92,5.44,2.19,3.38,17.93
reconditus,I,I2,Norops,3,82.27,182,27.14,14.58,12.19,27.81,25.24,20.53,2.57,4.72,33.77,14.96,14.18,22.06,21.25,13.81,14.27,71.39,18.11,13.91,4.74,7.94,44.71
richardi,I,I1,Dactyloa,3,113.53,167.87,31.16,18.34,15.76,31.91,28.51,23.22,3.4,5.29,51.42,18.28,17.42,27.78,29.3,17.59,17.29,91.96,23.9,17.52,6.98,8.72,57.12
rimarum,I,I2,Anolis,3,43.14,107.82,13.1,7.1,5.73,13.41,12.3,10.19,1.12,2.1,19.17,5.49,5.15,13.03,12.3,7.51,7,39.84,7.75,6.27,3.47,4.2,21.69
rivalis,M,M2b,Norops,2,60.78,101.72,15.38,8.79,7.09,15.34,13.89,11.51,1.45,2.38,30.99,8.04,10.81,16.93,16.7,9.56,8.9,52.09,11.89,9.56,3.24,5.01,29.69
roatanensis,I,NA,Norops,1,49.15,100.48,15.76,8.17,6.94,15.06,13.54,11.54,1.52,2,22.91,6.91,7.2,15.28,12.99,8.61,7.6,44.48,10.14,7.56,2.85,3.92,24.47
rodriguezii,M,M2b,Norops,7,36.96,57.93,10.87,6.06,4.68,10.72,9.85,8.28,0.87,1.57,15.55,4.81,4.9,9.31,9.73,5.74,6.29,31.07,6.78,5.52,1.97,3.41,17.68
roquet,I,I1,Dactyloa,31,68.17,109.91,18.3,9.92,7.48,19.01,17.64,14.66,1.37,2.99,32.73,9.18,9.54,14.17,14.44,9.22,9.67,47.5,12.35,10.51,3.91,4.93,31.7
ruizii,M,NA,Dactyloa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rupinae,I,I2,Anolis,3,52.23,107.3,15.12,7.6,6.7,15.9,14.34,11.76,1.56,2.59,25.53,7.15,8.8,14.35,14.58,9.1,9.4,47.44,10.23,8.23,2.95,4.53,25.94
sabanus,I,I2,Anolis,3,57.62,113.06,17.7,10.29,7.9,18.93,16.98,13.7,1.95,3.28,27.76,9.85,10.79,14.3,13.73,8.5,9.12,45.65,11.21,8.99,3.64,5.04,28.88
sagrei,I,I2,Norops,136,51.79,85.66,14.61,7.72,5.91,14.5,13.34,11.14,1.15,2.21,26.38,5.47,5.04,12.12,11.76,5.39,8.96,38.23,8.36,7.3,1.92,5.42,22.94
salvini,M,M2a,Norops,2,56.55,65.84,16.98,9.43,7.55,16.61,15.57,12.96,1.05,2.61,23.51,8.08,7.5,10.69,9.78,6.75,7.09,34.3,9.72,6.89,2.99,4.31,23.9
santamartae,M,M1,Dactyloa,1,56.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.84,7.65,7.11,11.13,12.52,7.31,9.24,40.2,9.68,7.93,3.35,5.13,26.09
scriptus,I,I2,Anolis,39,55.42,79.39,15.89,8.77,6.62,16.2,14.89,12.17,1.32,2.72,25.89,8.58,8.23,12.74,13.68,8.47,8.38,43.27,10.02,8.79,3.06,4.3,26.17
sericeus,M,M2a,Norops,15,43.17,95.69,12.65,6.48,5.13,12.49,11.44,9.66,1.05,1.78,20.79,6.13,5.77,9.37,10.21,6.4,7.08,33.05,7.5,6.06,2.09,3.63,19.28
serranoi,M,M2b,Norops,1,67.44,143,18.59,11.04,8.87,19.4,17.57,14.88,1.83,2.69,31.47,9.6,10.39,17.26,17.36,11.41,10.11,56.14,12.37,10.7,3.48,5.07,31.62
sheplani,I,I2,Anolis,9,38.61,38.09,11.26,4.57,4.46,11.4,10.64,9.24,0.75,1.41,NA,NA,NA,5.44,4.98,2.55,3.01,15.98,3.92,3.21,1.21,2.04,10.38
singularis,I,I2,Anolis,16,38.65,58.58,12.45,6.86,5.23,12.92,12,10.27,0.91,1.73,NA,NA,NA,7.5,7.18,4.07,5.2,23.95,5.64,4.86,1.75,3.09,15.33
smaragdinus,I,I2,Anolis,42,56.47,101.84,17.25,8.7,5.95,18.3,16.69,13.99,1.61,2.69,NA,NA,NA,11.08,10.43,5.34,7.15,33.99,7.79,6.81,2.01,4.61,21.22
sminthus,M,M2a,Norops,2,48.1,117.36,14.32,8.44,6.34,14.61,13.46,11.22,1.16,2.24,23.85,6.26,8.97,10.61,11.06,6.76,7.26,35.68,7.93,6.29,2.55,3.83,20.59
solitarius,M,M1,Dactyloa,1,51.44,112.65,14.87,7.33,5.7,14.98,13.78,11.81,1.2,1.97,26.94,5.74,6.81,10.15,9.81,6.46,6.61,33.03,8.49,6.2,2.05,3.65,20.39
squamulatus,M,M1,Dactyloa,4,115.66,266.75,32.92,17.87,14.91,33.8,31.22,25.94,2.58,5.28,48.89,16.39,14.86,27.43,27.42,19.32,19.12,93.29,22.73,18.27,5.83,9.98,56.81
stevepoei,M,NA,,2,43.21,71,12.58,7.28,5.87,12.68,11.2,9.21,1.48,1.99,19.25,5.65,8.48,10.02,10.62,6.69,6.1,33.42,7.81,6.36,2.59,3.31,20.07
stratulus,I,I2,Anolis,21,47.88,62.95,14.47,6.74,4.75,14.31,13.26,11.19,1.17,2.06,23.56,4.24,4.56,11.06,10.72,4.43,8.53,34.74,8.37,7.77,1.86,6.02,24.03
subocularis,M,M2a,Norops,3,43.16,80.85,12.24,6.83,5.2,12.56,11.11,9.3,1.45,1.81,17.65,5.83,5.9,10.26,10.59,6.48,6.45,33.78,8.28,6.28,2.2,3.41,20.17
sulcifrons,M,M2a,Norops,1,60.85,NA,16.91,9.19,7.77,16.82,15.03,12.17,1.79,2.86,29.32,8.73,9.32,12.7,12.92,8.46,8.83,42.91,10.94,9.09,3,4.89,27.92
taylori,M,M2a,Norops,1,67.42,125.73,17.06,10.01,7.81,18.16,16.22,13.83,1.94,2.39,31.53,7.73,10.17,17.33,15.63,10.17,10.28,53.41,12.37,10.37,3.43,5.11,31.28
tigrinus,M,M1,Dactyloa,14,51.15,61.29,14.71,6.85,5.99,14.27,13.4,11.39,0.88,2.01,25.06,7.04,7.28,8.23,7.87,4.78,6.82,27.7,7.15,5.95,2.65,4.5,20.24
tolimensis,M,M2b,Norops,3,53.78,96.96,15.37,7.54,6.46,14.82,13.69,11.44,1.13,2.25,24.8,6.21,8.84,12.14,11.77,7.14,7.6,38.65,8.88,6.06,2.82,3.61,21.36
townsendi,I,NA,Norops,3,46.63,91.29,13.82,7.04,5.49,13.75,12.61,10.67,1.14,1.95,21,5.31,6.9,11.95,12.5,7.51,7.82,39.78,9.21,6.65,2.19,3.67,21.71
trachyderma,M,M2b,Norops,3,48.29,94.02,12.75,6.73,5.37,12.51,11.37,9.58,1.14,1.79,23.17,4.72,6.15,13.01,14.12,8.31,7.74,43.18,9.34,7.31,2.63,3.97,23.24
transversalis,M,M1,Dactyloa,2,69.7,133.74,18.92,10.13,9.03,18.72,17.13,14.71,1.59,2.43,34.15,9.07,10.13,16.38,16.96,9.8,9.64,52.78,13.13,9.66,3.5,5.05,31.33
tropidogaster,M,M2b,Norops,3,47.27,87.64,14.16,7.35,6.17,14.25,13.06,11,1.19,2.07,23.4,6.89,7.07,12.55,12.97,7.91,7.71,41.14,8.69,7.34,2.51,3.64,22.18
tropidolepis,M,M2b,Norops,3,47.65,82.59,13.19,7.27,6.17,13.18,12,9.92,1.18,2.08,20.07,6.67,7.47,12.51,12.56,7.62,8.21,40.9,8.72,6.59,2.84,3.96,22.12
tropidonotus,M,M2a,Norops,3,51.9,95.48,15.1,9.41,7.33,15.69,14.19,11.84,1.51,2.35,23.29,8.21,8.48,13.56,14.5,9.44,9.16,46.67,10.37,8.38,2.91,4.69,26.35
uniformis,M,M2a,Norops,16,36.62,49.79,11.73,6.61,5.16,11.8,10.85,9.06,0.94,1.8,16.31,6.22,6.58,8.95,9.76,6.06,6.21,30.98,6.64,5.64,2.05,3.36,17.68
unilobatus,M,M2a,Norops,3,47.06,105.83,13.47,6.58,5.17,13.26,11.91,9.92,1.35,1.99,22.55,5.3,6.3,10.53,10.72,6.3,6.38,33.93,8.07,6.54,2.01,3.06,19.68
ustus veraepacis,M,NA,Norops,1,54.54,47.53,15.43,8.97,7.14,15.37,14.14,11.53,1.23,2.61,25.29,7.31,7.56,14.73,14.67,9.04,9.37,47.81,10.72,8.6,2.89,4.22,26.43
utowanae,I,NA,Norops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
valencienni,I,I2,Norops,9,70.38,86.56,21.05,9.49,8.12,20.66,19.63,16.34,1.03,3.29,35.01,7.09,7.07,13.59,11.59,3.97,8.88,38.03,9.76,8.32,1.99,5.79,25.86
vanidicus,I,I2,Anolis,3,34.67,80.01,11.13,4.29,3.78,10.87,9.93,8.37,0.94,1.56,15.25,3.83,3.31,8.54,8.31,5.14,4.68,26.67,5.33,3.81,1.51,2.18,12.83
